Re,regime,attractor,strong_rhs_l2,strong_pressure_final_l2,strong_pressure_base_l2,strong_auto_one_step_a_l2,strong_auto_one_step_b_l2,strong_auto_rollout_a_l2_mean,strong_auto_rollout_b_l2_mean,strong_rollout_pressure_energy_error,strong_closure_alpha_mean,strong_active_experts,strong_dead_experts,strong_load_cv,hopf_amp_rhs_l2,hopf_amp_pressure_final_l2,hopf_amp_pressure_base_l2,hopf_amp_auto_one_step_a_l2,hopf_amp_auto_one_step_b_l2,hopf_amp_auto_rollout_a_l2_mean,hopf_amp_auto_rollout_b_l2_mean,hopf_amp_rollout_pressure_energy_error,hopf_amp_closure_alpha_mean,hopf_amp_active_experts,hopf_amp_dead_experts,hopf_amp_load_cv,weighted_rhs_l2,weighted_pressure_final_l2,weighted_pressure_base_l2,weighted_auto_one_step_a_l2,weighted_auto_one_step_b_l2,weighted_auto_rollout_a_l2_mean,weighted_auto_rollout_b_l2_mean,weighted_rollout_pressure_energy_error,weighted_closure_alpha_mean,weighted_active_experts,weighted_dead_experts,weighted_load_cv,v16_full_rhs_l2,v16_full_pressure_final_l2,v16_full_pressure_base_l2,v16_full_auto_one_step_a_l2,v16_full_auto_one_step_b_l2,v16_full_auto_rollout_a_l2_mean,v16_full_auto_rollout_b_l2_mean,v16_full_rollout_pressure_energy_error,v16_full_closure_alpha_mean,v16_full_active_experts,v16_full_dead_experts,v16_full_load_cv,v16_conditioned_rhs_l2,v16_conditioned_pressure_final_l2,v16_conditioned_pressure_base_l2,v16_conditioned_auto_one_step_a_l2,v16_conditioned_auto_one_step_b_l2,v16_conditioned_auto_rollout_a_l2_mean,v16_conditioned_auto_rollout_b_l2_mean,v16_conditioned_rollout_pressure_energy_error,v16_conditioned_closure_alpha_mean,v16_conditioned_active_experts,v16_conditioned_dead_experts,v16_conditioned_load_cv,v16_full_vs_weighted_rollout_a_improvement_percent,v16_full_vs_weighted_rollout_b_improvement_percent
24.630435943603516,steady_wake,steady,0.4377036988735199,0.40028977394104004,47.47378921508789,0.02454669401049614,0.4004608392715454,0.3100767135620117,0.9584831595420837,2.133059198242193,0.23659507723004936,4.0,18,2.7114622592926025,0.42943665385246277,0.31692588329315186,47.47378921508789,0.023970546200871468,0.3185984492301941,0.2937990128993988,0.5576680302619934,0.30944427721568485,0.23543618505580705,5.0,18,2.7113630771636963,0.46466314792633057,0.2260008007287979,47.47378921508789,0.025001611560583115,0.22596986591815948,0.29483890533447266,1.021239995956421,1.1996208267913424,0.06354698456144418,5.0,18,2.7114737033843994,0.3934459090232849,0.2566378116607666,47.47378921508789,0.02197212167084217,0.256902277469635,0.30552181601524353,0.6416929364204407,1.276587921370374,0.0644156606669908,4.983606557377049,18,2.6612963676452637,0.4210779070854187,0.22535358369350433,47.47378921508789,0.023457003757357597,0.22552113234996796,0.2965097427368164,0.5689147114753723,0.11347681256391273,0.05147156796058388,3.1147540983606556,19,3.09333872795105,-3.623304281587911,37.16531481716238
32.74006652832031,steady_wake,steady,0.293811559677124,0.2824145555496216,56.34028625488281,0.016547245904803276,0.2825256884098053,0.20938290655612946,0.7103649377822876,1.230651840731864,0.23550387259401162,4.0,18,2.711454153060913,0.2964702248573303,0.13090293109416962,56.34028625488281,0.01666424423456192,0.13330665230751038,0.20385359227657318,0.6109781861305237,0.5982700460273366,0.2346762140480894,5.0,18,2.7113523483276367,0.3056822717189789,0.15610270202159882,56.34028625488281,0.016889674589037895,0.15613190829753876,0.19887030124664307,0.864472508430481,1.5554933433964446,0.0635100714508091,5.0,18,2.711468458175659,0.25867658853530884,0.13323862850666046,56.34028625488281,0.014665192924439907,0.13302583992481232,0.2119838148355484,0.5113418102264404,0.6804453098898067,0.06372806499175418,4.885245901639344,15,2.37782621383667,0.2845398485660553,0.1630137413740158,56.34028625488281,0.015941781923174858,0.16295936703681946,0.1984923779964447,0.5459925532341003,0.5128206914522658,0.04938131746774936,3.1147540983606556,19,3.0933399200439453,-6.594002979178717,40.849268745998366
39.68547821044922,steady_wake,steady,0.2503749430179596,0.2083204984664917,49.46226119995117,0.01407637633383274,0.20838552713394165,0.16244356334209442,0.5055684447288513,0.4592726054584499,0.23496576949550158,4.0,18,2.711442708969116,0.25273385643959045,0.08674279600381851,49.46226119995117,0.014219734817743301,0.088099904358387,0.16119259595870972,0.358784019947052,0.29083016267283923,0.23431709311501914,5.0,18,2.711337089538574,0.25723451375961304,0.10476972162723541,49.46226119995117,0.014378835447132587,0.10485535115003586,0.1552276462316513,0.43017110228538513,0.7021037313551632,0.06368933336972211,5.0,18,2.7114627361297607,0.21540771424770355,0.0710628554224968,49.46226119995117,0.012299208901822567,0.07078686356544495,0.16603651642799377,0.344088613986969,0.35961855572863566,0.06352382256048512,4.885245901639344,15,2.3778254985809326,0.238054096698761,0.11190421879291534,49.46226119995117,0.013374553062021732,0.1118178740143776,0.15329653024673462,0.3216957747936249,0.28658666739607425,0.048420392133564624,3.1147540983606556,19,3.0933406352996826,-6.9632378372935175,20.011220614560735
45.142704010009766,pre_hopf_steady,steady,0.22187194228172302,0.18548473715782166,45.69498062133789,0.012477115727961063,0.18551059067249298,0.1283758282661438,0.41801807284355164,0.07293495016039231,0.23482058769288833,4.0,18,2.7114312648773193,0.22447574138641357,0.09834295511245728,45.69498062133789,0.012636237777769566,0.09915748983621597,0.12827101349830627,0.2601649761199951,0.013214436239940912,0.23424229623474202,5.0,18,2.71132230758667,0.22654332220554352,0.10553081333637238,45.69498062133789,0.012726797722280025,0.10568051785230637,0.12188153713941574,0.2508253753185272,0.21518011190008396,0.06390026639558931,5.0,18,2.711458444595337,0.1919267177581787,0.09414754062891006,45.69498062133789,0.010883009992539883,0.09395141899585724,0.12933851778507233,0.25215256214141846,0.09191207713417242,0.06352164563112205,4.80327868852459,15,2.1701409816741943,0.20713303983211517,0.112361378967762,45.69498062133789,0.011653553694486618,0.11223806440830231,0.11843574047088623,0.23702295124530792,0.07137097100401366,0.04819819148530664,3.1147540983606556,19,3.093341112136841,-6.118220052580091,-0.5291278130076829
47.081356048583984,hopf_transition,hopf,1.3438990116119385,0.24949003756046295,67.48310852050781,0.12930189073085785,0.25184178352355957,0.8069576859474182,1.0780490517616272,0.6617217640484506,0.2344930375952687,4.0,18,2.711433172225952,1.8975805044174194,0.15531867742538452,67.48310852050781,0.1600387990474701,0.16841337084770203,0.5587237477302551,0.40069817900657656,0.45290481059718285,0.23420349419936998,5.0,18,2.7113215923309326,0.6852349638938904,0.07992152869701385,67.48310852050781,0.06470466405153275,0.08042868226766586,0.44077208638191223,0.32213065028190613,0.48629215251379754,0.06373038593315132,5.0,18,2.7114644050598145,0.5838350057601929,0.09994986653327942,67.48310852050781,0.05557340011000633,0.1004522442817688,0.6279316186904907,0.26705131530761717,0.3793383893183527,0.06284186958422468,4.7974683544303796,15,2.1566381454467773,0.8009039759635925,0.1485138088464737,67.48310852050781,0.06824254244565964,0.1486215591430664,0.4866300284862518,0.4557386517524719,0.6427751879086193,0.04725919191512247,3.018987341772152,19,3.0933420658111572,-42.461747939821194,17.098445902644592
49.02235794067383,hopf_transition,hopf,1.0348865985870361,0.22942982614040375,54.68186950683594,0.09600904583930969,0.23085860908031464,0.6135387778282165,0.9166443586349488,0.7594860217161276,0.23451934870974261,4.0,18,2.7114288806915283,1.4499914646148682,0.15822087228298187,54.68186950683594,0.11918867379426956,0.16705435514450073,0.3626525104045868,0.4046941757202148,0.5313850467159124,0.2342356440926073,5.0,18,2.711315393447876,0.5187184810638428,0.07426687330007553,54.68186950683594,0.0479385182261467,0.07487228512763977,0.19973126649856568,0.3511850655078888,0.539844550259648,0.06382636278242358,5.0,18,2.7114624977111816,0.4385220408439636,0.11443007737398148,54.68186950683594,0.040589839220047,0.11483486741781235,0.30533053278923034,0.29524503350257875,0.45968116948619064,0.06288024515363103,4.791139240506329,15,2.142118215560913,0.6354510188102722,0.15879768133163452,54.68186950683594,0.052211109548807144,0.15899658203125,0.22266411483287812,0.44938296675682066,0.6544979892002798,0.04736008491528094,3.0316455696202533,19,3.0933420658111572,-52.870673751734806,15.928932491593512
51.78644943237305,hopf_transition,hopf,1.2863352298736572,1.20244300365448,588.068603515625,0.5964954495429993,1.215512990951538,3.07447464466095,3.724361228942871,9.011159298344472,0.23470668277227963,4.0,18,2.7114105224609375,1.946698784828186,0.793376088142395,588.068603515625,0.774575412273407,0.9584546685218811,2.1361186504364014,1.7220957279205322,3.2269756143430146,0.2344118820567488,5.0,18,2.711285352706909,0.6317751407623291,0.3752121031284332,588.068603515625,0.29722723364830017,0.3888004720211029,1.2549660921096801,0.964596426486969,0.06304117705168977,0.06394098461047018,5.0,18,2.7114510536193848,0.38017481565475464,0.3358317017555237,588.068603515625,0.1658928245306015,0.3383341133594513,0.5009826600551606,0.6279866397380829,0.33971399841120303,0.062444592775666274,4.632911392405063,15,1.8604793548583984,0.662892758846283,0.4341873824596405,588.068603515625,0.27099159359931946,0.43556833267211914,1.0883910059928894,0.8624515056610107,0.11028147882810505,0.046590812700097683,3.1012658227848102,19,3.0933406352996826,60.07998437527695,34.8964372566472
70.31463623046875,developing_periodic_shedding,periodic,0.2045820951461792,0.04049213230609894,1.4201198816299438,0.05834175646305084,0.0572173036634922,0.13935718685388565,0.16805773228406906,0.09809675546093849,0.5311025437674944,4.8924050632911396,14,2.3994882106781006,0.2064540982246399,0.02283310331404209,1.4201198816299438,0.06222153455018997,0.04949234798550606,0.12302863001823425,0.16318214386701585,0.14698790463480865,0.5261141121928297,4.474683544303797,16,2.6128792762756348,0.19652189314365387,0.04171253368258476,1.4201198816299438,0.06847599148750305,0.06778066605329514,0.12928612232208253,0.14545434564352036,0.034248786723486475,0.524741469217093,4.424050632911392,12,2.1231610774993896,0.20897871255874634,0.04576890915632248,1.4201198816299438,0.05883685499429703,0.06655177474021912,0.10225593447685241,0.1294260412454605,0.013628563015778184,0.5348332092870334,4.525316455696203,10,1.9332820177078247,0.26100242137908936,0.06887581199407578,1.4201198816299438,0.06031985208392143,0.0820833146572113,0.1523357644677162,0.2262371927499771,0.16673905335306388,0.5222853452042393,4.60126582278481,10,2.1392831802368164,20.907261630054524,11.019474411126938
100.35224914550781,mature_periodic_shedding,periodic,0.2291729599237442,0.01123637892305851,1.0156452655792236,0.018768124282360077,0.019398285076022148,0.022883738577365875,0.025664892792701722,0.017848835390168304,0.542976979503358,4.1645569620253164,16,2.6411919593811035,0.22789707779884338,0.008031206205487251,1.0156452655792236,0.016694657504558563,0.016974803060293198,0.021212546899914742,0.025170837715268134,0.01395203294412658,0.5316949600561617,4.544303797468355,16,2.5078465938568115,0.22914186120033264,0.015286196954548359,1.0156452655792236,0.04497404024004936,0.05651920288801193,0.050672513991594316,0.05871205180883408,0.011899235964893855,0.5563375087649431,4.506329113924051,16,2.614370107650757,0.23151034116744995,0.014565255492925644,1.0156452655792236,0.020412268117070198,0.021573783829808235,0.020759035646915436,0.027563095837831498,0.008604238672513791,0.5885954127806132,4.462025316455696,16,2.538213014602661,0.3337564766407013,0.02049536257982254,1.0156452655792236,0.04754858464002609,0.05484194681048393,0.07699810713529587,0.09838218539953232,0.08822204583203824,0.5381571260443742,4.620253164556962,16,2.493046760559082,59.03294703247012,53.0537683684149
149.05923461914062,mature_periodic_shedding,periodic,0.21404817700386047,0.009983139112591743,0.8300245404243469,0.01622912473976612,0.018728910014033318,0.024620241671800613,0.029494938999414445,0.026269722740843108,0.544852407102081,4.512658227848101,15,2.5095036029815674,0.21398955583572388,0.008951880037784576,0.8300245404243469,0.015208650380373001,0.01708938553929329,0.02303352802991867,0.02704959474503994,0.003591753715309819,0.5367877653861106,4.3544303797468356,15,2.4269309043884277,0.2161392718553543,0.011377064511179924,0.8300245404243469,0.03691790625452995,0.041910745203495026,0.035936218500137326,0.04034120626747608,0.007382384034176031,0.5547441449966812,4.6645569620253164,14,2.4226183891296387,0.2163729965686798,0.013613216578960419,0.8300245404243469,0.020398465916514397,0.026269910857081413,0.03371993079781532,0.041464359313249585,0.011032422614604371,0.6031284627601905,4.784810126582278,10,2.153627634048462,0.2506188452243805,0.01708487793803215,0.8300245404243469,0.02919681742787361,0.035784896463155746,0.03703211173415184,0.04642469957470894,0.013759748956847957,0.5363160492310778,4.6455696202531644,11,1.84042489528656,6.167281352414791,-2.7841335192770726
