snapshot_id,Re,Re_label,time,period,cycle,phase,local_snapshot_index
0,50,Re_50p000000,666.73334,166.68333500016664,3.999999999996001,0.999999999996001,0
1,50,Re_50p000000,687.56875687,166.68333500016664,4.124999999965879,0.12499999996587885,1
2,50,Re_50p000000,708.40417375,166.68333500016664,4.249999999995752,0.24999999999575184,2
3,50,Re_50p000000,729.23959063,166.68333500016664,4.375000000025623,0.37500000002562306,3
4,50,Re_50p000000,750.0750075,166.68333500016664,4.499999999995501,0.4999999999955014,4
5,50,Re_50p000000,770.91042438,166.68333500016664,4.6250000000253735,0.6250000000253735,5
6,50,Re_50p000000,791.74584125,166.68333500016664,4.749999999995252,0.7499999999952518,6
7,50,Re_50p000000,812.58125812,166.68333500016664,4.874999999965129,0.8749999999651292,7
8,50,Re_50p000000,833.416675,166.68333500016664,4.999999999995001,0.9999999999950013,8
9,50,Re_50p000000,854.25209188,166.68333500016664,5.125000000024873,0.12500000002487344,9
10,50,Re_50p000000,875.08750875,166.68333500016664,5.249999999994752,0.24999999999475175,10
11,50,Re_50p000000,895.92292562,166.68333500016664,5.374999999964629,0.3749999999646292,11
12,50,Re_50p000000,916.7583425,166.68333500016664,5.499999999994501,0.4999999999945013,12
13,50,Re_50p000000,937.59375937,166.68333500016664,5.62499999996438,0.6249999999643796,13
14,50,Re_50p000000,958.42917625,166.68333500016664,5.749999999994252,0.7499999999942517,14
15,50,Re_50p000000,979.26459313,166.68333500016664,5.875000000024124,0.8750000000241238,15
16,50,Re_50p000000,1000.10001,166.68333500016664,5.999999999994001,0.9999999999940012,16
17,50,Re_50p000000,1020.93542687,166.68333500016664,6.12499999996388,0.12499999996387956,17
18,50,Re_50p000000,1041.77084375,166.68333500016664,6.249999999993752,0.24999999999375166,18
19,50,Re_50p000000,1062.60626063,166.68333500016664,6.375000000023624,0.37500000002362377,19
20,50,Re_50p000000,1083.4416775,166.68333500016664,6.499999999993502,0.4999999999935021,20
21,50,Re_50p000000,1104.27709437,166.68333500016664,6.6249999999633795,0.6249999999633795,21
22,50,Re_50p000000,1125.11251125,166.68333500016664,6.749999999993252,0.7499999999932516,22
23,50,Re_50p000000,1145.94792813,166.68333500016664,6.875000000023125,0.8750000000231246,23
24,50,Re_50p000000,1166.783345,166.68333500016664,6.999999999993002,0.999999999993002,24
25,50,Re_50p000000,1187.61876188,166.68333500016664,7.125000000022874,0.12500000002287415,25
26,50,Re_50p000000,1208.45417875,166.68333500016664,7.249999999992752,0.24999999999275158,26
27,50,Re_50p000000,1229.28959562,166.68333500016664,7.37499999996263,0.3749999999626299,27
28,50,Re_50p000000,1250.1250125,166.68333500016664,7.499999999992502,0.499999999992502,28
29,50,Re_50p000000,1270.96042938,166.68333500016664,7.625000000022374,0.6250000000223741,29
30,50,Re_50p000000,1291.79584625,166.68333500016664,7.749999999992252,0.7499999999922524,30
31,50,Re_50p000000,1312.63126313,166.68333500016664,7.8750000000221245,0.8750000000221245,31
32,50,Re_50p000000,1333.46668,166.68333500016664,7.999999999992002,0.999999999992002,32
33,50,Re_50p000000,1354.30209687,166.68333500016664,8.124999999961881,0.12499999996188116,33
34,50,Re_50p000000,1375.13751375,166.68333500016664,8.249999999991752,0.24999999999175238,34
35,50,Re_50p000000,1395.97293062,166.68333500016664,8.37499999996163,0.3749999999616307,35
36,50,Re_50p000000,1416.8083475,166.68333500016664,8.499999999991504,0.4999999999915037,36
37,50,Re_50p000000,1437.64376438,166.68333500016664,8.625000000021375,0.6250000000213749,37
38,50,Re_50p000000,1458.47918125,166.68333500016664,8.749999999991253,0.7499999999912532,38
39,50,Re_50p000000,1479.31459812,166.68333500016664,8.874999999961132,0.8749999999611315,39
40,50,Re_50p000000,1500.150015,166.68333500016664,8.999999999991003,0.9999999999910028,40
41,50,Re_50p000000,1520.98543187,166.68333500016664,9.124999999960881,0.12499999996088107,41
42,50,Re_50p000000,1541.82084875,166.68333500016664,9.249999999990754,0.24999999999075406,42
