label_id,label,Re,regime,regime_group,start_index,start_time,end_time,velocity_l2,pressure_l2,amp_error_mean,amp_error_median,phase_abs_mean_rad,phase_abs_final_rad,freq_true,freq_pred,freq_rel_error,strouhal_rel_error,r_true_mean,r_pred_mean,lift_drag_available,lift_phase_error,lift_amp_error,lift_freq_error,drag_phase_error,drag_amp_error,drag_freq_error
2,Re_24p630436,24.630434036254883,steady_wake,Steady,153,1376.539306640625,1562.14013671875,0.24358312785625458,1.3999470472335815,1056.7105712890625,670.7324829101562,1.3112190961837769,1.1381235122680664,0.002544540284344231,0.001076077383777962,0.5771034198295714,0.5771034198295714,4.144539218486898e-07,0.0002438892115605995,False,nan,nan,nan,nan,nan,nan
6,Re_32p740068,32.74006652832031,steady_wake,Steady,409,1343.9190673828125,1483.5469970703125,0.1833619922399521,0.9473320841789246,961.3157348632812,561.9375,1.4553648233413696,1.5009851455688477,0.0033769411784100685,0.0019439988406339175,0.4243314472023103,0.4243314472023103,4.2888675011454325e-07,0.00020652863895520568,False,nan,nan,nan,nan,nan,nan
10,Re_39p685479,39.685482025146484,steady_wake,Steady,664,1319.9022216796875,1435.09375,0.15461955964565277,0.7174922227859497,875.7913208007812,519.1605224609375,1.4734262228012085,1.7256571054458618,0.0040667550741916,0.0027426290983105436,0.32559766973885723,0.32559766973885723,4.1789658666857576e-07,0.00018759658269118518,False,nan,nan,nan,nan,nan,nan
17,Re_45p142703,45.142704010009766,pre_hopf_steady,Steady,1110,1303.8018798828125,1405.068115234375,0.12653329968452454,0.6214109659194946,787.189453125,461.5504150390625,1.438106894493103,1.7426878213882446,0.004582199327016525,0.0031683784639451335,0.30854634682236437,0.30854634682236437,4.1445397869210865e-07,0.00016781182785052806,False,nan,nan,nan,nan,nan,nan
20,Re_47p081355,47.08135986328125,hopf_transition,Hopf,1302,1550.0787353515625,2113.74365234375,0.797020435333252,0.5734046697616577,87.33260345458984,88.02250671386719,1.4979902505874634,0.4355162978172302,0.005213824332168821,3.3202445136400896e-05,0.9936318441100561,0.9936318441100561,1.4018479532751371e-06,0.0001237132091773674,False,nan,nan,nan,nan,nan,nan
20,Re_47p081355,47.08135986328125,hopf_transition,Hopf,1326,2113.74365234375,2677.40869140625,0.597448468208313,0.5676544308662415,126.55403900146484,124.11351013183594,1.4321246147155762,0.39828869700431824,0.005217416433810777,2.5662105110369674e-05,0.9950814533532054,0.9950814533532054,1.0724586445576278e-06,0.00013570896408054978,False,nan,nan,nan,nan,nan,nan
20,Re_47p081355,47.08135986328125,hopf_transition,Hopf,1350,2677.40869140625,3241.07373046875,0.5831475853919983,0.5669550895690918,164.42149353027344,159.0101318359375,1.322598934173584,0.7251719832420349,0.005233203326597971,1.3058255658542148e-05,0.9975047297341424,0.9975047297341424,8.171509193743987e-07,0.00013533768651541322,False,nan,nan,nan,nan,nan,nan
20,Re_47p081355,47.08135986328125,hopf_transition,Hopf,1374,3241.07373046875,3804.73876953125,0.5803777575492859,0.5619054436683655,215.13970947265625,203.16033935546875,1.2558341026306152,0.9980468153953552,0.005253228944086496,1.5110390313686527e-05,0.9971235993192682,0.9971235993192682,6.239052368073317e-07,0.00013563137326855212,False,nan,nan,nan,nan,nan,nan
20,Re_47p081355,47.08135986328125,hopf_transition,Hopf,1398,3804.73876953125,4368.40380859375,0.540659487247467,0.5439357757568359,267.2937927246094,255.377197265625,1.4329203367233276,1.2196483612060547,0.005269960724774422,0.00010220760299775205,0.9806056232074227,0.9806056232074227,4.778947868544492e-07,0.0001240401907125488,False,nan,nan,nan,nan,nan,nan
23,Re_49p022357,49.02236557006836,hopf_transition,Hopf,1785,1445.3941650390625,1979.078125,0.5913239121437073,0.5982027053833008,38.29158020019531,39.63737106323242,1.33612859249115,1.5701433420181274,0.005489546148118272,0.0015873158805900312,0.7108475202736049,0.7108475202736049,3.322451448184438e-06,0.00013037140888627619,False,nan,nan,nan,nan,nan,nan
23,Re_49p022357,49.02236557006836,hopf_transition,Hopf,1809,1979.078125,2512.76220703125,0.4479900002479553,0.5538637042045593,42.950836181640625,47.197906494140625,1.0854718685150146,1.4821720123291016,0.005487638018609144,4.068093484087427e-06,0.9992586802428384,0.9992586802428384,3.141961542496574e-06,0.00013840947940479964,False,nan,nan,nan,nan,nan,nan
23,Re_49p022357,49.02236557006836,hopf_transition,Hopf,1833,2512.76220703125,3046.4462890625,0.3766028881072998,0.5338917970657349,44.23765182495117,46.38670349121094,1.3458596467971802,2.118643283843994,0.0054809609975130825,0.0012006008109614736,0.7809506741085765,0.7809506741085765,2.9596587864944013e-06,0.00013362678873818368,False,nan,nan,nan,nan,nan,nan
23,Re_49p022357,49.02236557006836,hopf_transition,Hopf,1857,3046.4462890625,3580.130126953125,0.3437708914279938,0.5404461622238159,44.946590423583984,44.071937561035156,1.5544160604476929,2.8934497833251953,0.005471208826071053,2.704940109531191e-05,0.9950560464880313,0.9950560464880313,2.7866499294759706e-06,0.00012856161629315466,False,nan,nan,nan,nan,nan,nan
23,Re_49p022357,49.02236557006836,hopf_transition,Hopf,1881,3580.130126953125,4113.80810546875,0.37872084975242615,0.5373798608779907,49.8878173828125,53.60626220703125,1.7902625799179077,2.5756382942199707,0.005465329278106564,2.3379489626929832e-05,0.9957222173755738,0.9957222173755738,2.619632368805469e-06,0.0001335711422143504,False,nan,nan,nan,nan,nan,nan
27,Re_51p786450,51.786441802978516,hopf_transition,Hopf,2430,1936.793701171875,2447.596435546875,5.638597011566162,4.565550804138184,10.092158317565918,10.755244255065918,0.928340494632721,1.1358236074447632,0.0058592961658309375,0.005227646537453205,0.10780298697878704,0.10780298697878704,1.4020038179296535e-05,0.00015737851208541542,False,nan,nan,nan,nan,nan,nan
27,Re_51p786450,51.786441802978516,hopf_transition,Hopf,2454,2447.596435546875,2958.399169921875,2.440056085586548,1.8101104497909546,5.38673210144043,4.631487846374512,1.8671398162841797,3.0280520915985107,0.005857263382095376,0.003240909753174665,0.44668533029806345,0.44668533029806345,1.7593649317859672e-05,0.00011185702169314027,False,nan,nan,nan,nan,nan,nan
27,Re_51p786450,51.786441802978516,hopf_transition,Hopf,2478,2958.399169921875,3469.201904296875,1.956855058670044,1.6454579830169678,3.715712547302246,3.55134916305542,1.9588584899902344,1.1614100933074951,0.005855749590602031,0.004291236795411823,0.26717549490742226,0.26717549490742226,2.2065001758164726e-05,0.0001038014524965547,False,nan,nan,nan,nan,nan,nan
27,Re_51p786450,51.786441802978516,hopf_transition,Hopf,2502,3469.201904296875,3979.995849609375,3.1986935138702393,2.732025384902954,6.8679962158203125,6.407435417175293,0.8444784283638,0.4532298743724823,0.0058542985346821666,0.006536739292580783,0.11657088440897143,0.11657088440897143,2.7671789212035947e-05,0.00021866853057872504,False,nan,nan,nan,nan,nan,nan
27,Re_51p786450,51.786441802978516,hopf_transition,Hopf,2526,3979.995849609375,4490.79736328125,2.0991289615631104,1.8389861583709717,3.564573287963867,3.375061511993408,0.8105011582374573,1.3925914764404297,0.00585297608506891,0.006437416539142274,0.09985355236021434,0.09985355236021434,3.471152012934908e-05,0.00016186600259970874,False,nan,nan,nan,nan,nan,nan
43,Re_70p314635,70.31463623046875,developing_periodic_shedding,Periodic,5009,1584.06298828125,1883.4134521484375,0.10190058499574661,0.09751616418361664,0.02827727049589157,0.022309010848402977,0.05389001965522766,0.1008749008178711,0.008594390371660755,0.008694934832357734,0.011698847310545435,0.011698847310545435,0.038977209478616714,0.038482580333948135,False,nan,nan,nan,nan,nan,nan
43,Re_70p314635,70.31463623046875,developing_periodic_shedding,Periodic,5033,1883.4134521484375,2182.763916015625,0.09903959184885025,0.11488422751426697,0.04356696084141731,0.04498555511236191,0.04631172493100166,0.09412193298339844,0.009206989638782232,0.009259071418437721,0.0056567653156086636,0.0056567653156086636,0.057777199894189835,0.05587540194392204,False,nan,nan,nan,nan,nan,nan
43,Re_70p314635,70.31463623046875,developing_periodic_shedding,Periodic,5057,2182.763916015625,2482.1142578125,0.0920884907245636,0.11138100922107697,0.01333257183432579,0.013256941922008991,0.06513061374425888,0.13402174413204193,0.00949449054787411,0.009568335565711149,0.007777670371771069,0.007777670371771069,0.06278885155916214,0.06238386407494545,False,nan,nan,nan,nan,nan,nan
43,Re_70p314635,70.31463623046875,developing_periodic_shedding,Periodic,5081,2482.1142578125,2781.46484375,0.08717869222164154,0.10749401897192001,0.021626999601721764,0.018599465489387512,0.08237204700708389,0.11144638061523438,0.0095589676521995,0.009627068433890074,0.007124282052338464,0.007124282052338464,0.06386589258909225,0.06290680915117264,False,nan,nan,nan,nan,nan,nan
43,Re_70p314635,70.31463623046875,developing_periodic_shedding,Periodic,5105,2781.46484375,3080.8154296875,0.09085741639137268,0.10928584635257721,0.019457286223769188,0.019407201558351517,0.08991297334432602,0.1156778335571289,0.00957258882602856,0.009643069557175424,0.007362765958134524,0.007362765958134524,0.06398729234933853,0.06387803703546524,False,nan,nan,nan,nan,nan,nan
61,Re_100p352251,100.35224151611328,mature_periodic_shedding,Periodic,7907,994.1044921875,1181.966796875,0.037599317729473114,0.04356151819229126,0.02394302375614643,0.026882115751504898,0.027740051969885826,0.04006767272949219,0.015759100995138525,0.01573127310385552,0.001765829871248718,0.001765829871248718,0.19579218327999115,0.1910986751317978,False,nan,nan,nan,nan,nan,nan
61,Re_100p352251,100.35224151611328,mature_periodic_shedding,Periodic,7931,1181.966796875,1369.8291015625,0.02663397416472435,0.028108326718211174,0.015009590424597263,0.013667854480445385,0.01957792602479458,0.022098539397120476,0.015806174033475538,0.015799844496796354,0.0004004471079071676,0.0004004471079071676,0.1955825686454773,0.1926487684249878,False,nan,nan,nan,nan,nan,nan
61,Re_100p352251,100.35224151611328,mature_periodic_shedding,Periodic,7955,1369.8291015625,1557.6912841796875,0.02600453421473503,0.029844053089618683,0.019651563838124275,0.01966247893869877,0.014957025647163391,0.01729583740234375,0.01581031812108994,0.015806356037429248,0.00025060113465755684,0.00025060113465755684,0.19544656574726105,0.19160811603069305,False,nan,nan,nan,nan,nan,nan
61,Re_100p352251,100.35224151611328,mature_periodic_shedding,Periodic,7979,1557.6912841796875,1745.5535888671875,0.020680462941527367,0.024651655927300453,0.011995270848274231,0.01187308318912983,0.014635133557021618,0.016798019409179688,0.0158102901190049,0.015808508096374452,0.00011271283555977086,0.00011271283555977086,0.19541716575622559,0.1930757611989975,False,nan,nan,nan,nan,nan,nan
61,Re_100p352251,100.35224151611328,mature_periodic_shedding,Periodic,8003,1745.5535888671875,1933.4158935546875,0.022365471348166466,0.024413209408521652,0.012948104180395603,0.014420151710510254,0.016177251935005188,0.018238065764307976,0.015808252308729422,0.015805729608318497,0.0001595812339971573,0.0001595812339971573,0.19534115493297577,0.19281311333179474,False,nan,nan,nan,nan,nan,nan
82,Re_149p059229,149.05921936035156,mature_periodic_shedding,Periodic,11291,600.2781372070312,717.4055786132812,0.023537175729870796,0.03549005091190338,0.005447840318083763,0.004831360653042793,0.012044519186019897,0.020990371704101562,0.026424000991810477,0.02641785393849117,0.0002326314368888079,0.0002326314368888079,0.3997781574726105,0.4013306200504303,False,nan,nan,nan,nan,nan,nan
82,Re_149p059229,149.05921936035156,mature_periodic_shedding,Periodic,11315,717.4055786132812,834.5330200195312,0.015298029407858849,0.017072077840566635,0.005038725212216377,0.005054079927504063,0.003406846895813942,0.0018615723820403218,0.02638382609101171,0.026399045752335894,0.0005768557324137059,0.0005768557324137059,0.40140339732170105,0.39946630597114563,False,nan,nan,nan,nan,nan,nan
82,Re_149p059229,149.05921936035156,mature_periodic_shedding,Periodic,11339,834.5330200195312,951.6604614257812,0.01830238103866577,0.024244576692581177,0.004842074122279882,0.004418591968715191,0.009413081221282482,0.01897430419921875,0.026380082806508744,0.02635924903445213,0.0007897538536415957,0.0007897538536415957,0.401655912399292,0.400180459022522,False,nan,nan,nan,nan,nan,nan
82,Re_149p059229,149.05921936035156,mature_periodic_shedding,Periodic,11363,951.6604614257812,1068.787841796875,0.011455388739705086,0.014174982905387878,0.005142271518707275,0.005625416524708271,0.0031026240903884172,0.0018386839656159282,0.026388664647517112,0.026386933642969318,6.559651921952454e-05,6.559651921952454e-05,0.40185877680778503,0.40377017855644226,False,nan,nan,nan,nan,nan,nan
82,Re_149p059229,149.05921936035156,mature_periodic_shedding,Periodic,11387,1068.787841796875,1185.915283203125,0.020807240158319473,0.028177358210086823,0.0057372585870325565,0.005631152540445328,0.01384876947849989,0.018682481721043587,0.026396985085205715,0.026394440840158205,9.638392563398332e-05,9.638392563398332e-05,0.40201449394226074,0.39990130066871643,False,nan,nan,nan,nan,nan,nan
96,Re_189p862278,189.86228942871094,high_re_2d_periodic_near_modeA,Periodic,13546,452.6279296875,541.6694946289062,0.03544031083583832,0.049850884824991226,0.019578656181693077,0.019439194351434708,0.008802018128335476,0.01659393310546875,0.03552666552058056,0.03550083610415051,0.0007270430830148757,0.0007270430830148757,0.5309959650039673,0.541375458240509,False,nan,nan,nan,nan,nan,nan
96,Re_189p862278,189.86228942871094,high_re_2d_periodic_near_modeA,Periodic,13570,541.6694946289062,630.7110595703125,0.033181678503751755,0.04447763040661812,0.01043238490819931,0.010707369074225426,0.022176271304488182,0.04673004150390625,0.03543702332839517,0.03551527825009543,0.0022082814623807525,0.0022082814623807525,0.5392693877220154,0.5446034073829651,False,nan,nan,nan,nan,nan,nan
96,Re_189p862278,189.86228942871094,high_re_2d_periodic_near_modeA,Periodic,13594,630.7110595703125,719.7526245117188,0.018472544848918915,0.024776455014944077,0.0067735896445810795,0.00444773118942976,0.009405825287103653,0.01342010498046875,0.03542103093573065,0.035471491059523644,0.0014245808904637537,0.0014245808904637537,0.5399314761161804,0.5419580936431885,False,nan,nan,nan,nan,nan,nan
96,Re_189p862278,189.86228942871094,high_re_2d_periodic_near_modeA,Periodic,13618,719.7526245117188,808.794189453125,0.02044905163347721,0.02872082218527794,0.010097955353558064,0.009159230627119541,0.007752811070531607,0.0024967193603515625,0.03541536166340739,0.03542744212675509,0.00034110800454818053,0.00034110800454818053,0.5398867726325989,0.544330894947052,False,nan,nan,nan,nan,nan,nan
96,Re_189p862278,189.86228942871094,high_re_2d_periodic_near_modeA,Periodic,13642,808.794189453125,897.8357543945312,0.02170880138874054,0.0278167724609375,0.010283214971423149,0.011951236054301262,0.011642247438430786,0.008274078369140625,0.03541151229022557,0.035445796453313215,0.0009681643304496257,0.0009681643304496257,0.5397328734397888,0.5444996356964111,False,nan,nan,nan,nan,nan,nan
