label_id,label,Re,regime,regime_group,dominant_pair_i,dominant_pair_j,num_windows,representative_start_time,representative_velocity_l2,representative_pressure_l2,velocity_l2_mean,velocity_l2_std,pressure_l2_mean,pressure_l2_std,amp_error_mean,amp_error_std,phase_abs_mean_rad,phase_abs_std_rad,phase_abs_final_rad_mean,freq_true,freq_pred,freq_rel_error,strouhal_rel_error,l2_phase_corr,l2_amp_corr,lift_drag_available
2,Re_24p630436,24.630434036254883,steady_wake,Steady,0,1,1,1376.539306640625,0.24358312785625458,1.3999470472335815,0.24358312785625458,0.0,1.3999470472335815,0.0,1056.7105712890625,0.0,1.3112190961837769,0.0,1.1381235122680664,0.002544540284344231,0.001076077383777962,0.5771034198295714,0.5771034198295714,nan,nan,False
6,Re_32p740068,32.74006652832031,steady_wake,Steady,0,1,1,1343.9190673828125,0.1833619922399521,0.9473320841789246,0.1833619922399521,0.0,0.9473320841789246,0.0,961.3157348632812,0.0,1.4553648233413696,0.0,1.5009851455688477,0.0033769411784100685,0.0019439988406339175,0.4243314472023103,0.4243314472023103,nan,nan,False
10,Re_39p685479,39.685482025146484,steady_wake,Steady,0,1,1,1319.9022216796875,0.15461955964565277,0.7174922227859497,0.15461955964565277,0.0,0.7174922227859497,0.0,875.7913208007812,0.0,1.4734262228012085,0.0,1.7256571054458618,0.0040667550741916,0.0027426290983105436,0.32559766973885723,0.32559766973885723,nan,nan,False
17,Re_45p142703,45.142704010009766,pre_hopf_steady,Steady,0,1,1,1303.8018798828125,0.12653329968452454,0.6214109659194946,0.12653329968452454,0.0,0.6214109659194946,0.0,787.189453125,0.0,1.438106894493103,0.0,1.7426878213882446,0.004582199327016525,0.0031683784639451335,0.30854634682236437,0.30854634682236437,nan,nan,False
20,Re_47p081355,47.08135986328125,hopf_transition,Hopf,0,1,5,2677.40869140625,0.5831475853919983,0.5669550895690918,0.6197307467460632,0.09062823307143288,0.5627710819244385,0.01009895336326974,172.14832763671876,63.613156860757556,1.3882936477661132,0.08695673199133164,0.7553344309329987,0.005237526752287698,3.784815984335026e-05,0.992789449944819,0.992789449944819,0.572503292307763,-0.796283036937463,False
23,Re_49p022357,49.02236557006836,hopf_transition,Hopf,0,1,5,3580.130126953125,0.37872084975242615,0.5373798608779907,0.4276817083358765,0.08858717100211512,0.5527568459510803,0.02370842022549652,44.06289520263672,3.722524080493116,1.4224277496337892,0.23646262337955704,2.1280093431472777,0.005478936653683623,0.0005684827351515667,0.896367027697725,0.896367027697725,-0.44051853031076044,-0.809833800197441,False
27,Re_51p786450,51.786441802978516,hopf_transition,Hopf,0,1,5,2447.596435546875,2.440056085586548,1.8101104497909546,3.0666661262512207,1.3559283626916698,2.5184261560440064,1.0919493794755053,5.925434494018555,2.4081838387027745,1.2818636775016785,0.5175591282782837,1.4342214286327362,0.005855916751655884,0.00514678978355255,0.20761764979069172,0.20761764979069172,-0.4642524789151846,0.9747955830512022,False
43,Re_70p314635,70.31463623046875,developing_periodic_shedding,Periodic,0,1,5,2182.763916015625,0.0920884907245636,0.11138100922107697,0.09421295523643494,0.005434149774689234,0.10811225324869156,0.005840908130249685,0.025252217799425124,0.010328428296613216,0.06752347573637962,0.01651244959039639,0.11122855842113495,0.00928548540730903,0.009358495961514422,0.007924066201679632,0.007924066201679632,-0.8507291384743471,0.6482631296572533,False
61,Re_100p352251,100.35224151611328,mature_periodic_shedding,Periodic,0,1,5,1369.8291015625,0.02600453421473503,0.029844053089618683,0.026656752079725267,0.005904181097430122,0.030115752667188644,0.007032318863034339,0.01670951060950756,0.004477529522605851,0.01861747782677412,0.004885826402617228,0.022899626940488815,0.015798827115487666,0.015790342268554813,0.0005378344366740741,0.0005378344366740741,0.9461099220569712,0.9198615265253629,False
82,Re_149p059229,149.05921936035156,mature_periodic_shedding,Periodic,0,1,5,834.5330200195312,0.01830238103866577,0.024244576692581177,0.017880043014883995,0.004211721260963985,0.023831809312105177,0.0076670337830373626,0.005241633951663971,0.00031586634883159814,0.008363168174400925,0.004404200926858481,0.01246948279440403,0.02639471192441075,0.026391504641681347,0.00035224429355952346,0.00035224429355952346,0.9048466807387885,0.5428474127228604,False
96,Re_189p862278,189.86228942871094,high_re_2d_periodic_near_modeA,Periodic,0,1,5,808.794189453125,0.02170880138874054,0.0278167724609375,0.02585047744214535,0.007021028189269343,0.03512851297855377,0.010058224338814769,0.011433160211890937,0.0042934228709520916,0.01195583464577794,0.005266311345912161,0.017502975463867188,0.035442318747667866,0.03547216879876758,0.0011338355541714378,0.0011338355541714378,0.47328510217060216,0.7771286376331038,False
