label_id,label,Re,regime,regime_group,velocity_tail_rel_l2,pressure_tail_rel_l2,velocity_head_energy_fraction,pressure_head_energy_fraction
2,Re_24p630436,24.630434036254883,steady_wake,Steady,0.47498508579475845,0.7651443945734512,0.7743891678107804,0.41452279729944885
6,Re_32p740068,32.74006652832031,steady_wake,Steady,0.45881118371952717,0.7635765888067646,0.7894922972073627,0.41693453728877194
10,Re_39p685479,39.685482025146484,steady_wake,Steady,0.45502530855930023,0.7278755646260514,0.792951968054899,0.4701874371195472
17,Re_45p142703,45.142704010009766,pre_hopf_steady,Steady,0.4531073817513167,0.6952182608398499,0.7946937000702364,0.5166647590303597
20,Re_47p081355,47.08135986328125,hopf_transition,Hopf,0.40641226232016164,0.36634068338781617,0.834829069673922,0.8657845424902563
23,Re_49p022357,49.02236557006836,hopf_transition,Hopf,0.4083360239441153,0.3763409342131308,0.8332616894958892,0.8583615131043171
27,Re_51p786450,51.786441802978516,hopf_transition,Hopf,0.41751535551437463,0.38159060532056455,0.8256807688830933,0.8537411699930906
43,Re_70p314635,70.31463623046875,developing_periodic_shedding,Periodic,0.178304061784734,0.26906860319495224,0.9682076615507089,0.9276020845574052
61,Re_100p352251,100.35224151611328,mature_periodic_shedding,Periodic,0.06553575038408824,0.14022640973766154,0.9957050654214882,0.9803365536135795
82,Re_149p059229,149.05921936035156,mature_periodic_shedding,Periodic,0.04863258889589888,0.06250563462910519,0.9976348712972452,0.9960930455722575
96,Re_189p862278,189.86228942871094,high_re_2d_periodic_near_modeA,Periodic,0.0553599204131079,0.07183793356268807,0.9969352792118347,0.9948393112771762
