horizon,a_l2,b_l2,pressure_energy,r_true_mean,r_pred_mean,overshoot_ratio_mean,amplitude_relative_l2
8,0.7587369465165668,1.0515656703048282,0.17632326538796253,2.2892417013582144e-05,6.123031323766925e-05,3.0281285754801917,1.9200235309202232
16,1.0787698104977608,0.9717890024185181,0.1291104417807255,2.253734861918339e-05,6.040537560452368e-05,2.9485479005637703,1.9313674193843737
24,1.2549660921096801,0.964596426486969,0.06304117705168977,2.323636391929342e-05,6.0516271616029494e-05,2.825102995949829,1.8618974639687698
32,1.4468504985173543,0.958853006362915,0.06837900742226952,2.1958236574020626e-05,6.040334471289854e-05,2.8897908983126093,2.046262947021854
