Re,regime,strong_rhs_l2,hopf_rhs_l2,improve_rhs_l2,strong_pressure_final_l2,hopf_pressure_final_l2,improve_pressure_final_l2,strong_auto_one_step_a_l2,hopf_auto_one_step_a_l2,improve_auto_one_step_a_l2,strong_auto_one_step_b_l2,hopf_auto_one_step_b_l2,improve_auto_one_step_b_l2,strong_auto_rollout_a_l2_mean,hopf_auto_rollout_a_l2_mean,improve_auto_rollout_a_l2_mean,strong_auto_rollout_b_l2_mean,hopf_auto_rollout_b_l2_mean,improve_auto_rollout_b_l2_mean,strong_rollout_pressure_energy_error,hopf_rollout_pressure_energy_error,improve_rollout_pressure_energy_error
24.630435943603516,Steady,0.4377036988735199,0.42943665385246277,1.8887309022823675,0.40028977394104004,0.31692588329315186,20.825885664560374,0.02454669401049614,0.023970546200871468,2.3471503306242045,0.4004608392715454,0.3185984492301941,20.442046266062455,0.3100767135620117,0.2937990128993988,5.24957210608386,0.9584831595420837,0.5576680302619934,41.81764961541736,2.133059198242193,0.30944427721568485,85.492935335752
32.74006652832031,Steady,0.293811559677124,0.2964702248573303,-0.9048878754559434,0.2824145555496216,0.13090293109416962,53.648659914354404,0.016547245904803276,0.01666424423456192,-0.7070562100287773,0.2825256884098053,0.13330665230751038,52.816095039772726,0.20938290655612946,0.20385359227657318,2.6407667992105295,0.7103649377822876,0.6109781861305237,13.990942734595373,1.230651840731864,0.5982700460273366,51.38592197842507
39.68547821044922,Steady,0.2503749430179596,0.25273385643959045,-0.9421523548631032,0.2083204984664917,0.08674279600381851,58.3608926426551,0.01407637633383274,0.014219734817743301,-1.0184331571613126,0.20838552713394165,0.088099904358387,57.722637665829836,0.16244356334209442,0.16119259595870972,0.7700935375015491,0.5055684447288513,0.358784019947052,29.03354161285192,0.4592726054584499,0.29083016267283923,36.6759176976101
45.142704010009766,Hopf,0.22187194228172302,0.22447574138641357,-1.1735594315861555,0.18548473715782166,0.09834295511245728,46.98056744756248,0.012477115727961063,0.012636237777769566,-1.2753111638766932,0.18551059067249298,0.09915748983621597,46.5488792436265,0.1283758282661438,0.12827101349830627,0.0816468094135498,0.41801807284355164,0.2601649761199951,37.76226603069264,0.07293495016039231,0.013214436239940912,81.8818876123438
47.081356048583984,Hopf,1.3438990116119385,1.8975805044174194,-41.19963539085933,0.24949003756046295,0.15531867742538452,37.7455392832094,0.12930189073085785,0.1600387990474701,-23.771429901664145,0.25184178352355957,0.16841337084770203,33.127311722700256,0.8069576859474182,0.5587237477302551,30.761704428866192,1.0780490517616272,0.40069817900657656,62.83117374373639,0.6617217640484506,0.45290481059718285,31.556609559539652
49.02235794067383,Hopf,1.0348865985870361,1.4499914646148682,-40.11114518195404,0.22942982614040375,0.15822087228298187,31.03735684908041,0.09600904583930969,0.11918867379426956,-24.14317083596019,0.23085860908031464,0.16705435514450073,27.63780575045252,0.6135387778282165,0.3626525104045868,40.89167245658185,0.9166443586349488,0.4046941757202148,55.85047004239697,0.7594860217161276,0.5313850467159124,30.033597522282285
51.78644943237305,Hopf,1.2863352298736572,1.946698784828186,-51.3368163771266,1.20244300365448,0.793376088142395,34.01965118253785,0.5964954495429993,0.774575412273407,-29.854370702549772,1.215512990951538,0.9584546685218811,21.148134519601015,3.07447464466095,2.1361186504364014,30.52085649345238,3.724361228942871,1.7220957279205322,53.7613130934312,9.011159298344472,3.2269756143430146,64.18911809786923
70.31463623046875,Periodic,0.2045820951461792,0.2064540982246399,-0.9150375926706092,0.04049213230609894,0.02283310331404209,43.611012772960436,0.05834175646305084,0.06222153455018997,-6.650087899901131,0.0572173036634922,0.04949234798550606,13.501083034982464,0.13935718685388565,0.12302863001823425,11.717053999354695,0.16805773228406906,0.16318214386701585,2.9011390019305825,0.09809675546093849,0.14698790463480865,-49.83972094096253
100.35224914550781,Periodic,0.2291729599237442,0.22789707779884338,0.5567332748703684,0.01123637892305851,0.008031206205487251,28.524961106409712,0.018768124282360077,0.016694657504558563,11.047810354444099,0.019398285076022148,0.016974803060293198,12.49327972153874,0.022883738577365875,0.021212546899914742,7.302966129424739,0.025664892792701722,0.025170837715268134,1.9250229542126942,0.017848835390168304,0.01395203294412658,21.832250457014155
149.05923461914062,Periodic,0.21404817700386047,0.21398955583572388,0.027386903713522127,0.009983139112591743,0.008951880037784576,10.330008058351495,0.01622912473976612,0.015208650380373001,6.2879198709506365,0.018728910014033318,0.01708938553929329,8.753976998723124,0.024620241671800613,0.02303352802991867,6.444752505006172,0.029494938999414445,0.02704959474503994,8.290724908510755,0.026269722740843108,0.003591753715309819,86.3274015080277
189.86227416992188,Periodic,0.19087989628314972,0.19238919019699097,-0.7907034440140166,0.011799593456089497,0.011580354534089565,1.858020980263411,0.019029637798666954,0.022144712507724762,-16.369595375462282,0.0232294462621212,0.026750776916742325,-15.158909148700358,0.05234754681587219,0.019432314112782477,62.87827167692518,0.07241658419370652,0.02565280459821224,64.5760637789905,0.01620949139522186,0.0016659167767075459,89.72258452724424
