metric,strong_mean,hopf_amp_mean,weighted_rollout_mean,weighted_vs_strong_improvement_percent,weighted_vs_hopf_amp_improvement_percent
rhs_l2,0.5188696465708993,0.6671015593138608,0.3567872250621969,31.237599381631036,46.51680541278212
pressure_head_l2,0.2573985160243782,0.16283879522234201,0.1093477914956483,57.51809560343697,32.84905397000541
one_step_a_l2,0.09107476921582763,0.11250574573535811,0.060626717284321785,33.431928725891694,46.112336851727456
one_step_b_l2,0.2630609067326242,0.1857629276134751,0.12289385937831619,53.283115722236204,33.84371092921903
rollout_a_l2,0.5040417121892625,0.36648346747864374,0.2667187059467489,47.08400128467964,27.2221724538525
rollout_b_l2,0.7824657638641921,0.4141944250938567,0.4101491658863697,47.582477748182114,0.9766570872049611
one_step_pressure_energy_error,0.19474572402738446,0.1597549214931033,0.04943502516318646,74.61560431681926,69.05571064656021
rollout_pressure_energy_error,1.3169736803353744,0.5081110910802603,0.44045122736632975,66.55580639590562,13.31595883295591
