Re,regime,StrongBaseline32_rhs_l2,StrongBaseline32_pressure_final_l2,StrongBaseline32_auto_one_step_a_l2,StrongBaseline32_auto_one_step_b_l2,StrongBaseline32_auto_rollout_a_l2_mean,StrongBaseline32_auto_rollout_b_l2_mean,StrongBaseline32_rollout_pressure_energy_error,StrongBaseline32_active_experts,StrongBaseline32_dead_experts,HopfAmpEnvelopeLoss32_rhs_l2,HopfAmpEnvelopeLoss32_pressure_final_l2,HopfAmpEnvelopeLoss32_auto_one_step_a_l2,HopfAmpEnvelopeLoss32_auto_one_step_b_l2,HopfAmpEnvelopeLoss32_auto_rollout_a_l2_mean,HopfAmpEnvelopeLoss32_auto_rollout_b_l2_mean,HopfAmpEnvelopeLoss32_rollout_pressure_energy_error,HopfAmpEnvelopeLoss32_active_experts,HopfAmpEnvelopeLoss32_dead_experts,WeightedRollout32_rhs_l2,WeightedRollout32_pressure_final_l2,WeightedRollout32_auto_one_step_a_l2,WeightedRollout32_auto_one_step_b_l2,WeightedRollout32_auto_rollout_a_l2_mean,WeightedRollout32_auto_rollout_b_l2_mean,WeightedRollout32_rollout_pressure_energy_error,WeightedRollout32_active_experts,WeightedRollout32_dead_experts,weighted_vs_hopf_amp_rollout_a_improvement_percent,weighted_vs_hopf_amp_rollout_b_improvement_percent
24.630435943603516,Steady,0.4377036988735199,0.40028977394104004,0.02454669401049614,0.4004608392715454,0.3100767135620117,0.9584831595420837,2.133059198242193,4.0,18,0.42943665385246277,0.31692588329315186,0.023970546200871468,0.3185984492301941,0.2937990128993988,0.5576680302619934,0.30944427721568485,5.0,18,0.46466314792633057,0.2260008007287979,0.025001611560583115,0.22596986591815948,0.29483890533447266,1.021239995956421,1.1996208267913424,5.0,18,-0.3539468784498358,-83.12686769522014
32.74006652832031,Steady,0.293811559677124,0.2824145555496216,0.016547245904803276,0.2825256884098053,0.20938290655612946,0.7103649377822876,1.230651840731864,4.0,18,0.2964702248573303,0.13090293109416962,0.01666424423456192,0.13330665230751038,0.20385359227657318,0.6109781861305237,0.5982700460273366,5.0,18,0.3056822717189789,0.15610270202159882,0.016889674589037895,0.15613190829753876,0.19887030124664307,0.864472508430481,1.5554933433964446,5.0,18,2.444544133011481,-41.489913724317994
39.68547821044922,Steady,0.2503749430179596,0.2083204984664917,0.01407637633383274,0.20838552713394165,0.16244356334209442,0.5055684447288513,0.4592726054584499,4.0,18,0.25273385643959045,0.08674279600381851,0.014219734817743301,0.088099904358387,0.16119259595870972,0.358784019947052,0.29083016267283923,5.0,18,0.25723451375961304,0.10476972162723541,0.014378835447132587,0.10485535115003586,0.1552276462316513,0.43017110228538513,0.7021037313551632,5.0,18,3.7005109890942895,-19.896951472049444
45.142704010009766,Hopf,0.22187194228172302,0.18548473715782166,0.012477115727961063,0.18551059067249298,0.1283758282661438,0.41801807284355164,0.07293495016039231,4.0,18,0.22447574138641357,0.09834295511245728,0.012636237777769566,0.09915748983621597,0.12827101349830627,0.2601649761199951,0.013214436239940912,5.0,18,0.22654332220554352,0.10553081333637238,0.012726797722280025,0.10568051785230637,0.12188153713941574,0.2508253753185272,0.21518011190008396,5.0,18,4.981231678640243,3.589876293402468
47.081356048583984,Hopf,1.3438990116119385,0.24949003756046295,0.12930189073085785,0.25184178352355957,0.8069576859474182,1.0780490517616272,0.6617217640484506,4.0,18,1.8975805044174194,0.15531867742538452,0.1600387990474701,0.16841337084770203,0.5587237477302551,0.40069817900657656,0.45290481059718285,5.0,18,0.6852349638938904,0.07992152869701385,0.06470466405153275,0.08042868226766586,0.44077208638191223,0.32213065028190613,0.48629215251379754,5.0,18,21.11090889326016,19.60765804313299
49.02235794067383,Hopf,1.0348865985870361,0.22942982614040375,0.09600904583930969,0.23085860908031464,0.6135387778282165,0.9166443586349488,0.7594860217161276,4.0,18,1.4499914646148682,0.15822087228298187,0.11918867379426956,0.16705435514450073,0.3626525104045868,0.4046941757202148,0.5313850467159124,5.0,18,0.5187184810638428,0.07426687330007553,0.0479385182261467,0.07487228512763977,0.19973126649856568,0.3511850655078888,0.539844550259648,5.0,18,44.92489069612697,13.222110280460155
51.78644943237305,Hopf,1.2863352298736572,1.20244300365448,0.5964954495429993,1.215512990951538,3.07447464466095,3.724361228942871,9.011159298344472,4.0,18,1.946698784828186,0.793376088142395,0.774575412273407,0.9584546685218811,2.1361186504364014,1.7220957279205322,3.2269756143430146,5.0,18,0.6317751407623291,0.3752121031284332,0.29722723364830017,0.3888004720211029,1.2549660921096801,0.964596426486969,0.06304117705168977,5.0,18,41.25016923318866,43.98706118087059
70.31463623046875,Periodic,0.2045820951461792,0.04049213230609894,0.05834175646305084,0.0572173036634922,0.13935718685388565,0.16805773228406906,0.09809675546093849,4.8924050632911396,14,0.2064540982246399,0.02283310331404209,0.06222153455018997,0.04949234798550606,0.12302863001823425,0.16318214386701585,0.14698790463480865,4.474683544303797,16,0.19652189314365387,0.04171253368258476,0.06847599148750305,0.06778066605329514,0.12928612232208253,0.14545434564352036,0.034248786723486475,4.424050632911392,12,-5.086208228865795,10.863810097961842
100.35224914550781,Periodic,0.2291729599237442,0.01123637892305851,0.018768124282360077,0.019398285076022148,0.022883738577365875,0.025664892792701722,0.017848835390168304,4.1645569620253164,16,0.22789707779884338,0.008031206205487251,0.016694657504558563,0.016974803060293198,0.021212546899914742,0.025170837715268134,0.01395203294412658,4.544303797468355,16,0.22914186120033264,0.015286196954548359,0.04497404024004936,0.05651920288801193,0.050672513991594316,0.05871205180883408,0.011899235964893855,4.506329113924051,16,-138.87991494221743,-133.25426222592708
149.05923461914062,Periodic,0.21404817700386047,0.009983139112591743,0.01622912473976612,0.018728910014033318,0.024620241671800613,0.029494938999414445,0.026269722740843108,4.512658227848101,15,0.21398955583572388,0.008951880037784576,0.015208650380373001,0.01708938553929329,0.02303352802991867,0.02704959474503994,0.003591753715309819,4.3544303797468356,15,0.2161392718553543,0.011377064511179924,0.03691790625452995,0.041910745203495026,0.035936218500137326,0.04034120626747608,0.007382384034176031,4.6645569620253164,14,-56.0169959784672,-49.13793218611311
189.86227416992188,Periodic,0.19087989628314972,0.011799593456089497,0.019029637798666954,0.0232294462621212,0.05234754681587219,0.07241658419370652,0.01620949139522186,4.2405063291139244,15,0.19238919019699097,0.011580354534089565,0.022144712507724762,0.026750776916742325,0.019432314112782477,0.02565280459821224,0.0016659167767075459,4.341772151898734,11,0.19300460815429688,0.012645368464291096,0.03765861690044403,0.048882756382226944,0.05172307565808296,0.06251209676265716,0.029857201038901847,4.39873417721519,9,-166.17043836307582,-143.68523341503823
