time,a0_true,a1_true,a0_pred,a1_pred,r_true,r_pred,theta_true,theta_pred,omega_true,omega_pred,amp_error,phase_error,velocity_step_l2,pressure_step_l2
2468.8798828125,6.439969638449838e-06,1.5786079529789276e-05,-4.647690275305649e-06,1.054216772899963e-05,1.7049149391823448e-05,1.1521211490617134e-05,1.1834532022476196,1.986029028892517,-0.03337761387228966,0.08506511896848679,0.324045330286026,0.8025757670402527,0.5622255802154541,0.5650574564933777
2490.163330078125,1.4288523743744008e-05,7.313218702620361e-06,-8.146094478433952e-05,-6.25612010480836e-05,1.6051326383603737e-05,0.0001027121688821353,0.47306254506111145,3.7965080738067627,-0.0365712009370327,0.03296508267521858,5.3956217765808105,-2.9597396850585938,1.3618026971817017,1.5403906106948853
2511.44677734375,1.397435426042648e-05,-5.47276340512326e-06,-0.00015332153998315334,-3.8767124351579696e-05,1.500778853369411e-05,0.00015814672224223614,-0.37326928973197937,3.3892502784729004,-0.03979805111885071,-0.03285524621605873,9.531292915344238,-2.5206656455993652,1.9636266231536865,2.128856897354126
2532.730224609375,5.526359473151388e-06,-1.5149908904277254e-05,-9.94348811218515e-05,9.145709191216156e-05,1.612638880033046e-05,0.0001350988313788548,-1.2210170030593872,2.3979623317718506,-0.03689510002732277,-0.019031861796975136,7.372928142547607,-2.66420578956604,1.8327288627624512,1.0670887231826782
2554.013671875,-6.2526246438210364e-06,-1.5979157979018055e-05,-4.032427750644274e-05,2.5420238671358675e-05,1.7158927221316844e-05,4.766797792399302e-05,-1.9437791109085083,2.579123020172119,-0.03416307270526886,0.034195493906736374,1.7769922018051147,-1.7602832317352295,1.0862926244735718,1.4038920402526855
2575.297119140625,-1.4512796042254195e-05,-7.305665349122137e-06,-6.99917072779499e-05,-6.0399543144740164e-05,1.6247891835519113e-05,9.244967804988846e-05,-2.6752328872680664,3.853558301925659,-0.03739619627594948,0.009947613812983036,4.687064170837402,0.24560610949993134,1.178214192390442,1.5494946241378784
2596.58056640625,-1.433917259419104e-05,5.961793249298353e-06,-8.579903078498319e-05,1.200615952257067e-05,1.5529161828453653e-05,8.663499465910718e-05,-3.535619020462036,3.0025620460510254,-0.039910126477479935,-0.02568097785115242,4.575911521911621,0.2549959719181061,1.244053840637207,0.9501038789749146
2617.864013671875,-5.672854967997409e-06,1.6123769455589354e-05,-7.098283822415397e-05,2.844975097104907e-05,1.7092606867663562e-05,7.64719006838277e-05,-4.374083042144775,2.7603988647460938,-0.03622658923268318,-0.0246152151376009,3.4719438552856445,0.8512965440750122,1.2072033882141113,1.1501843929290771
2639.1474609375,6.561689588124864e-06,1.715710459393449e-05,-2.6120291295228526e-05,6.464998295996338e-05,1.8369049939792603e-05,6.972725532250479e-05,-5.077672481536865,1.9547687768936157,-0.03316383808851242,0.022407179698348045,2.7943882942199707,0.7492558360099792,1.2088062763214111,1.0588452816009521
2660.430908203125,1.5252287084877025e-05,8.281343980343081e-06,-4.3707834265660495e-05,-2.8176546038594097e-05,1.735548721626401e-05,5.200281157158315e-05,-5.785764694213867,3.714202880859375,-0.036438897252082825,0.017438841983675957,1.9951828718185425,-3.0664031505584717,1.3195468187332153,1.193051815032959
2681.71435546875,1.523061564512318e-05,-5.483414042828372e-06,-5.675051943399012e-05,2.703020436456427e-05,1.618763417354785e-05,6.285899871727452e-05,-6.628763198852539,2.6970860958099365,-0.03979578614234924,-0.006224523298442364,2.881369113922119,3.0426642894744873,1.2527700662612915,1.4488182067871094
2702.997802734375,6.3434449657506775e-06,-1.6151701856870204e-05,-8.311954297823831e-05,-2.6410300051793456e-05,1.735271689540241e-05,8.721446647541597e-05,-7.479747772216797,3.449244260787964,-0.0370170921087265,0.017041288316249847,4.023664474487305,-1.6373783349990845,1.4881205558776855,1.0733592510223389
2724.28125,-6.362415206240257e-06,-1.7403712263330817e-05,-0.00012696580961346626,-3.663152892841026e-05,1.853023422881961e-05,0.00013214455975685269,-8.204465866088867,3.422480821609497,-0.034116070717573166,-0.007885811850428581,6.127987384796143,-0.9394241571426392,1.8627761602401733,1.1693252325057983
2745.564697265625,-1.5502748283324763e-05,-8.325124326802325e-06,-0.00016284137382172048,4.564735718304291e-06,1.7596672478248365e-05,0.00016290534404106438,-8.931962966918945,3.113569736480713,-0.037209320813417435,-0.029977692291140556,8.253045082092285,-0.5208383798599243,2.087449312210083,1.364549994468689
2766.84814453125,-1.564538433740381e-05,5.952895207883557e-06,-7.148710574256256e-05,0.0001101607340388,1.6739624697947875e-05,0.00013132323510944843,-9.788351058959961,2.146423578262329,-0.039926446974277496,-0.046975746750831604,6.840965747833252,-0.6315962076187134,2.096190929412842,1.264643907546997
2788.131591796875,-6.534944532177178e-06,1.7149759514722973e-05,3.903503966284916e-05,7.941716467030346e-05,1.8352649931330234e-05,8.849192090565339e-05,-10.631507873535156,1.1139580011367798,-0.0364215224981308,-0.08719015121459961,3.8196702003479004,-0.8209044337272644,2.250911235809326,1.6556812524795532
2809.4150390625,6.657680387434084e-06,1.8635342712514102e-05,5.258807505015284e-07,-9.059348667506129e-05,1.9788903955486603e-05,9.059501462616026e-05,-11.338702201843262,-1.5649901628494263,-0.033196717500686646,-0.08230582624673843,3.5762641429901123,-2.7926583290100098,2.299003839492798,1.887582778930664
2830.698486328125,1.6268186300294474e-05,9.353047971671913e-06,-0.0001404052454745397,-0.0001313386601395905,1.8765216736937873e-05,0.00019225888536311686,-12.044589042663574,-2.389545202255249,-0.03630473092198372,-0.033209528774023056,9.240567207336426,-2.9113268852233887,2.850404977798462,2.1421563625335693
2851.98193359375,1.6587893696851097e-05,-5.454965958051616e-06,-0.00024135081912390888,-3.968604141846299e-05,1.7461812603869475e-05,0.0002445919089950621,-12.884081840515137,-2.978616714477539,-0.039787519723176956,-0.02636251598596573,12.999800682067871,-2.660905599594116,3.3608529567718506,2.4774932861328125
2873.265380859375,7.252009709191043e-06,-1.7203146853717044e-05,-0.00021219269547145814,8.233220432884991e-05,1.8669223209144548e-05,0.00022760564752388746,-13.73822021484375,-3.5117156505584717,-0.03714275732636452,-0.026365965604782104,11.185498237609863,-2.3398663997650146,3.6332738399505615,2.4972333908081055
2894.548828125,-6.444039627240272e-06,-1.893883745651692e-05,-9.289664740208536e-05,0.00013250434130895883,2.0005129044875503e-05,0.00016182455874513835,-14.465133666992188,-4.100934028625488,-0.03408056125044823,-0.038402389734983444,7.085611343383789,-2.2021708488464355,3.4618980884552,2.472565174102783
2915.832275390625,-1.654572224651929e-05,-9.45234114624327e-06,4.970912414137274e-05,0.00010725430911406875,1.905538374558091e-05,0.00011821372027043253,-15.188923835754395,-5.14638614654541,-0.03702421858906746,-0.05305865406990051,5.200961589813232,-2.5238327980041504,3.5181562900543213,2.3099920749664307
2937.11572265625,-1.7055841453839093e-05,5.902636075916234e-06,8.671227260492742e-05,-6.628346454817802e-06,1.804834755603224e-05,8.696524309925735e-05,-16.041139602661133,-6.359476089477539,-0.03993287682533264,-0.05711290240287781,3.816345453262329,-2.884706974029541,3.7696540355682373,2.6042087078094482
